16642,"Ane Koi: Suki Kirai Daisuki.",OVA,2,26 min.,X - Adults Only,0,"UNKNOWN","Hentai"
7605,"Parasol Henbei",TV,200,10 min.,PG - Children,1989,"UNKNOWN","Adventure,Comedy,Fantasy,Kids,Magic"
9389,"Ginga Hyouryuu Vifam: Kieta 12-nin",OVA,1,57 min.,G - Everyone,0,"Sunrise","Sci-Fi,Adventure,Space,Mecha"
34152,"Super Danganronpa 2.5: Komaeda Nagito to Sekai no Hakaimono",OVA,1,25 min.,R - 17+ (violence),0,"Lerche","Action,Mystery,Horror,Psychological"
9998,"Chuuhai Lemon: Love 30s - Ame ni Nurete mo",OVA,1,44 min.,PG-13 - Teens,0,"UNKNOWN","Police,Comedy,Romance,Drama"
153,"Juuni Kokuki",TV,45,25 min.,PG-13 - Teens,2002,"Studio Pierrot","Action,Adventure,Fantasy,Magic,Supernatural"
27417,"Diabolik Lovers OVA",OVA,1,11 min.,PG-13 - Teens,0,"Production I.G,Zexcs","Harem,School,Vampire,Shoujo"
5588,"Ko Ko Ro",OVA,2,30 min.,X - Adults Only,0,"UNKNOWN","Hentai"
23903,"Tuzki: Love Assassin",ONA,1,2 min.,R - 17+ (violence),0,"Studio 4°C","Comedy,Romance"
13247,"Lupin III: Lupin Ikka Seizoroi",Special,1,10 min.,PG-13 - Teens,0,"UNKNOWN","Adventure,Comedy,Seinen"
33398,"Neko Konogoro",TV,0,1 min.,Unrated,2016,"Kachidoki Studio","Comedy"
1051,"Ao no 6-gou",OVA,4,32 min.,PG-13 - Teens,0,"Gonzo","Action,Adventure,Mecha,Military,Sci-Fi"
12447,"Ben-To Picture Drama",Special,6,9 min.,PG-13 - Teens,0,"David Production","Comedy"
3294,"Gasshin Sentai Mechander Robo",TV,35,23 min.,PG-13 - Teens,1977,"UNKNOWN","Space,Mecha,Military,Mystery,Sci-Fi"
1381,"Seikai no Monshou Special",Special,1,1 hr. 30 min.,PG-13 - Teens,0,"Sunrise","Action,Military,Romance,Sci-Fi,Space"
8022,"Tegamibachi Gakuen",Special,25,3 min.,PG-13 - Teens,0,"Studio Pierrot","Comedy"
32666,"Oniku Daisuki! Zeushi-kun: Suteki na Hamburger",ONA,1,4 min.,G - Everyone,0,"DLE","Comedy"
33775,"Soul Buster",TV,12,13 min.,PG-13 - Teens,2016,"Studio Pierrot","Action,Samurai"
20667,"Mobile Suit Gundam: Zeonic Front - Indignation of Zeon.",Special,1,10 min.,PG-13 - Teens,0,"Sunrise","Mecha,Military"
35277,"Nanumu no Ie",Movie,1,1 hr. 36 min.,PG - Children,0,"UNKNOWN","Drama,Historical"
14353,"Death Billiards",Movie,1,25 min.,R - 17+ (violence),0,"Madhouse","Game,Mystery,Psychological,Drama,Thriller"
5235,"Live On Cardliver Kakeru",TV,51,23 min.,PG - Children,2008,"TMS Entertainment","Game,Fantasy"
8154,"Gegege no Kitarou: Saikyou Youkai Gundan! Nippon Jouriku!!",Movie,1,49 min.,G - Everyone,0,"Toei Animation","Adventure,Comedy,Fantasy,Horror,Supernatural"
5117,"Kokudo Oh",OVA,5,30 min.,X - Adults Only,0,"UNKNOWN","Fantasy,Hentai"
26443,"Triage X",TV,10,23 min.,R+ - Mild Nudity,2015,"Xebec","Action,Adventure,Ecchi,Shounen"
16251,"Shinkai no Kantai: Submarine 707",OVA,1,46 min.,Unrated,0,"J.C.Staff,Toei Animation","Action,Adventure,Military,Sci-Fi"
35594,"Ylion to Callysia",Movie,1,8 min.,Unrated,0,"UNKNOWN","Action,Fantasy"
36847,"Nanatsu no Bitoku",TV,10,5 min.,R+ - Mild Nudity,2018,"Bridge","Ecchi,Fantasy"
29765,"Metropolis (2009)",Movie,1,4 min.,G - Everyone,0,"UNKNOWN","UNKNOWN"
32561,"Hai to Gensou no Grimgar Special",Special,1,11 min.,PG-13 - Teens,0,"A-1 Pictures","Comedy"
